iter	Passed	Remaining
0	1	1314
1	2	1054
2	2	934
3	6	1686
4	8	1778
5	9	1655
6	10	1541
7	11	1443
8	12	1360
9	13	1294
10	14	1264
11	15	1242
12	15	1202
13	16	1164
14	17	1130
15	17	1099
16	21	1216
17	22	1249
18	24	1250
19	25	1228
20	25	1206
21	26	1188
22	27	1169
23	28	1174
24	29	1163
25	30	1147
26	31	1129
27	32	1111
28	32	1094
29	36	1180
30	38	1192
31	39	1186
32	40	1174
33	40	1161
34	41	1149
35	42	1138
36	43	1127
37	45	1144
38	46	1139
39	46	1127
40	47	1116
41	51	1174
42	53	1181
43	55	1196
44	56	1204
45	57	1194
46	58	1182
47	59	1171
48	59	1158
49	60	1147
50	61	1153
51	62	1143
52	67	1208
53	69	1223
54	71	1223
55	72	1217
56	72	1207
57	74	1201
58	75	1203
59	76	1197
60	77	1194
61	81	1232
62	83	1243
63	85	1256
64	88	1267
65	89	1261
66	90	1257
67	91	1253
68	92	1244
69	95	1265
70	97	1276
71	98	1270
72	99	1264
73	101	1269
74	102	1263
75	103	1253
76	103	1245
77	104	1237
78	105	1228
79	105	1218
80	106	1208
81	107	1199
82	107	1187
83	111	1212
84	112	1209
85	113	1202
86	113	1196
87	116	1203
88	118	1210
89	119	1206
90	120	1201
91	121	1202
92	125	1221
93	126	1217
94	127	1210
95	127	1204
96	128	1197
97	133	1231
98	135	1232
99	136	1229
100	137	1226
101	142	1258
102	144	1257
103	145	1250
104	145	1243
105	149	1264
106	151	1264
107	152	1260
108	153	1253
109	155	1258
110	156	1253
111	157	1246
112	157	1239
113	158	1232
114	163	1255
115	164	1251
116	165	1247
117	170	1277
118	171	1272
119	172	1265
120	173	1258
121	173	1250
122	174	1243
123	175	1238
124	176	1237
125	177	1232
126	178	1226
127	179	1223
128	180	1218
129	181	1212
130	181	1206
131	184	1214
132	186	1212
133	186	1207
134	187	1201
135	188	1194
136	188	1188
137	189	1182
138	193	1196
139	194	1194
140	195	1191
141	196	1184
142	198	1186
143	199	1187
144	200	1183
145	201	1177
146	202	1172
147	202	1167
148	203	1162
149	205	1162
150	206	1159
151	206	1154
152	207	1150
153	208	1147
154	209	1143
155	210	1140
156	212	1139
157	212	1135
158	214	1134
159	216	1135
160	216	1129
161	217	1124
162	218	1119
163	219	1118
164	220	1117
165	221	1114
166	222	1109
167	223	1106
168	224	1101
169	224	1096
170	225	1091
171	229	1102
172	229	1099
173	230	1094
174	231	1089
175	231	1085
176	232	1081
177	233	1077
178	235	1078
179	236	1076
180	237	1073
181	237	1069
182	238	1066
183	240	1064
184	243	1072
185	244	1071
186	245	1068
187	246	1064
188	247	1061
189	247	1056
190	249	1056
191	250	1054
192	251	1051
193	252	1050
194	253	1046
195	254	1043
196	254	1039
197	259	1052
198	261	1051
199	262	1048
200	263	1046
201	265	1047
202	265	1044
203	266	1040
204	267	1037
205	268	1033
206	268	1029
207	269	1027
208	272	1032
209	273	1030
210	275	1028
211	275	1025
212	276	1022
213	277	1019
214	278	1016
215	279	1012
216	279	1010
217	280	1006
218	281	1002
219	281	999
220	282	995
221	282	991
222	283	987
223	284	984
224	284	980
225	285	976
226	286	976
227	287	974
228	288	971
229	289	968
230	289	964
231	290	961
232	290	957
233	291	954
234	292	951
235	293	949
236	294	947
237	295	944
238	295	942
239	296	939
240	297	936
241	298	934
242	298	930
243	299	927
244	300	925
245	300	921
246	301	919
247	302	918
248	303	915
249	304	912
250	304	909
251	305	906
252	305	903
253	306	900
254	307	897
255	308	895
256	308	892
257	309	889
258	310	887
259	310	884
260	311	881
261	311	878
262	312	875
263	313	872
264	313	869
265	314	867
266	314	864
267	316	864
268	318	866
269	319	864
270	320	861
271	320	858
272	321	856
273	322	853
274	322	850
275	323	848
276	323	845
277	324	842
278	325	840
279	325	837
280	326	834
281	326	832
282	327	829
283	328	827
284	328	825
285	329	823
286	331	823
287	332	822
288	333	820
289	333	817
290	334	814
291	335	812
292	335	810
293	336	807
294	336	805
295	337	803
296	338	800
297	338	798
298	339	796
299	340	793
300	340	791
301	341	788
302	341	786
303	342	783
304	343	781
305	343	779
306	344	777
307	344	775
308	347	776
309	348	774
310	348	772
311	349	770
312	350	768
313	350	766
314	351	764
315	352	762
316	352	760
317	353	758
318	354	756
319	355	754
320	355	752
321	356	749
322	356	747
323	357	745
324	357	743
325	358	741
326	358	738
327	359	736
328	360	734
329	361	733
330	362	731
331	362	729
332	363	727
333	363	725
334	364	723
335	365	721
336	365	719
337	366	717
338	367	715
339	367	713
340	368	711
341	368	709
342	369	707
343	370	705
344	370	703
345	371	702
346	372	700
347	373	700
348	377	703
349	379	705
350	380	704
351	381	702
352	382	701
353	383	700
354	384	698
355	385	697
356	386	695
